dos_ID,tcST,tcET,fcST,fcET,scST,scET,abST,AVGwin,dDE,K_PC2,K_PC4,K_PC5,K_PC6,A_PC2,A_PC4,A_PC5,A_PC6,B_PC2,B_PC4,B_PC5,B_PC6,C_PC2,C_PC4,C_PC5,C_PC6,VB_PC2,VB_PC4,VB_PC5,VB_PC6,VBA_PC2,VBA_PC4,VBA_PC5,VBA_PC6,S_PC2,S_PC4,S_PC5,S_PC6,SAF_PC2,SAF_PC4,SAF_PC5,SAF_PC6,BRad,BRAF_PC2,BRAF_PC4,BRAF_PC5,BRAF_PC6,CDF_PC2,CDF_PC4,CDF_PC5,CDF_PC6,SSwin,MRD
VA000005308,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:53,5,3000,84.7577358,141.7252087,136.6335898,125.1990235,-7743.082502,3.473991525,21.80804579,28.76409269,1345.816524,5533.171597,4498.291769,4100.098213,264179.8793,273100.0958,271939.8351,272767.7548,500,500,500,500,10,10,10,10,0.097165346,0.095943129,0.095335082,0.090752704,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005316,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:33,5,3000,82.73985507,134.8335988,121.9812494,105.5050228,9.651375285,92.21105347,120.3484452,31.29990044,5144.245047,4361.86997,4110.548725,4742.576032,263835.0403,277074.1743,272685.4291,279227.1507,500,500,500,500,10,10,10,10,0.097220216,0.093684954,0.094321927,0.086457937,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005324,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:00,5,3000,90.88168381,167.0093316,159.8443109,138.0414391,-4544.1409,7.933107877,71.13716052,72.25859684,1599.519694,5299.472632,4035.939848,4025.75399,260698.2248,265394.3051,267136.0525,273681.4083,500,500,500,500,10,10,10,10,0.097617938,0.095140059,0.094461515,0.088160744,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005340,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:16,5,3000,83.39621559,148.063044,129.7094042,146.8971665,-2457.972367,8.713347171,22.78946459,57.94431935,1883.673263,5239.281736,4310.513254,4141.328455,263861.8919,272475.3455,268459.9876,271335.4106,500,500,500,500,10,10,10,10,0.096046584,0.094088141,0.096207491,0.092453465,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000537U,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:45,5,3000,95.83731506,148.5084375,117.3238891,117.6780387,-859.8665791,18.51573216,8.700494011,26.81052558,2449.452987,4696.852375,4111.414255,4023.775697,258235.5808,273559.3046,269373.5473,273134.1421,500,500,500,500,10,10,10,10,0.099786571,0.09470993,0.096785218,0.090876594,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000539Q,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:48,5,3000,78.94562289,128.1996083,136.4222243,122.6630787,-11160.23383,-124186554.8,-6334.510779,3.863276704,1204.947725,-0.479572529,-65891.62394,5337.570437,261731.9625,1511992.761,258623.3465,268996.3526,500,500,500,500,10,10,10,10,0.093431609,0.091881284,0.101729993,0.090574465,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005407,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:21,5,3000,82.35777297,132.5476762,130.1782436,147.5715448,3.850684022,21.77351167,87.9593462,126.127894,5624.184122,5004.801518,4308.846123,4186.804816,260041.0654,262952.2513,268442.5585,265173.1297,500,500,500,500,10,10,10,10,0.092242567,0.097496599,0.091309654,0.092810493,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005423,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:13,5,3000,77.77125249,136.5179095,135.6694821,132.4147901,-329.8559434,27.74324599,87.9015386,85.25114949,-30564.21748,4974.656261,4349.769776,4337.640071,264540.933,271647.1948,271267.9802,269962.1512,500,500,500,500,10,10,10,10,0.093613867,0.096151133,0.097622781,0.092626226,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000544Z,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:49,5,3000,90.09873752,127.7685321,141.9164216,137.166266,-6593.548352,0.108510362,9.18896995,11.64734671,1437.55359,7328.362716,4995.490466,4811.531506,263357.1044,273467.2078,268944.6719,271125.2362,500,500,500,500,10,10,10,10,0.098587013,0.092015733,0.096104625,0.092363818,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000545X,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,7/30/2017 0:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:12,5,3000,88.34194365,147.7160099,113.1959589,125.8657147,-1326.089594,4.929672714,3.841880649,4.325501813,2275.701529,5499.449785,5197.835536,5116.104269,262600.6115,275024.7934,276035.2294,272041.1923,500,500,500,500,10,10,10,10,0.095932794,0.094458327,0.088092382,0.092039543,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
